Product_Name,Comment_Count,Link
iPhone 11 128 GB Siyah,29640,https://www.hepsiburada.com/iphone-11-128-gb-siyah-p-HBV0000120X5Z
iPhone 11 128 GB Beyaz,29640,https://www.hepsiburada.com/iphone-11-128-gb-beyaz-p-HBV0000122JCR
iPhone 11 128 GB Yeşil,29640,https://www.hepsiburada.com/iphone-11-128-gb-yesil-p-HBV0000122JCP
iPhone 11 128 GB RED Special Edition,29640,https://www.hepsiburada.com/iphone-11-128-gb-red-special-edition-p-HBV0000120X5X
iPhone 11 128 GB Sarı,29640,https://www.hepsiburada.com/iphone-11-128-gb-sari-p-HBV0000122JCQ
iPhone 11 64 GB Siyah,24845,https://www.hepsiburada.com/iphone-11-64-gb-siyah-p-HBV0000120X65
iPhone 11 64 GB Yeşil,24845,https://www.hepsiburada.com/iphone-11-64-gb-yesil-p-HBV0000120X69
iPhone 11 64 GB Mor,24845,https://www.hepsiburada.com/iphone-11-64-gb-mor-p-HBV0000122JCS
iPhone 11 64 GB RED Special Edition,24845,https://www.hepsiburada.com/iphone-11-64-gb-red-special-edition-p-HBV0000120X67
iPhone 11 64 GB Beyaz,24845,https://www.hepsiburada.com/iphone-11-64-gb-beyaz-p-HBV0000120X66
iPhone 13 128 GB Beyaz,23188,https://www.hepsiburada.com/iphone-13-128-gb-beyaz-p-HBCV00000ODHHO
iPhone 13 128 GB Siyah,23188,https://www.hepsiburada.com/iphone-13-128-gb-siyah-p-HBCV00000ODHHF
iPhone 13 128 GB Pembe,23188,https://www.hepsiburada.com/iphone-13-128-gb-pembe-p-HBCV00000ODHHZ
iPhone 13 128 GB Yeşil,23188,https://www.hepsiburada.com/iphone-13-128-gb-yesil-p-HBCV00001T9W5S
iPhone 13 128 GB Kırmızı,23188,https://www.hepsiburada.com/iphone-13-128-gb-kirmizi-p-HBCV00000ODHI3
iPhone 13 128 GB Mavi,23188,https://www.hepsiburada.com/iphone-13-128-gb-mavi-p-HBCV00000ODHHV
Xiaomi Redmi Note 12 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Gri,10504,https://www.hepsiburada.com/xiaomi-redmi-note-12-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-gri-p-HBCV000046JZ59
Xiaomi Redmi Note 12 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Beyaz,10504,https://www.hepsiburada.com/xiaomi-redmi-note-12-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-beyaz-p-HBCV000046JZ5B
Xiaomi Redmi Note 12 Pro 256 GB 8 GB Ram (Xiaomi Türkiye Garantili) Mavi,10504,https://www.hepsiburada.com/xiaomi-redmi-note-12-pro-256-gb-8-gb-ram-xiaomi-turkiye-garantili-mavi-p-HBCV00004IY880
